permno,date,prc,ret
14593.0,1986-06-16,35.875,-0.013745704665780067
14593.0,1986-06-17,34.25,-0.045296166092157364
14593.0,1986-06-18,34.25,0.0
14593.0,1986-06-19,35.0,0.021897809579968452
14593.0,1986-06-20,36.0,0.02857142873108387
14593.0,1986-06-23,34.75,-0.0347222238779068
14593.0,1986-06-24,34.875,0.003597122384235263
14593.0,1986-06-25,35.875,0.02867383509874344
14593.0,1986-06-26,36.25,0.010452961549162865
14593.0,1986-06-27,35.875,-0.01034482754766941
14593.0,1986-06-30,35.875,0.0
14593.0,1986-07-01,35.375,-0.013937282375991344
14593.0,1986-07-02,36.125,0.02120141312479973
14593.0,1986-07-03,37.625,0.041522491723299026
14593.0,1986-07-07,35.625,-0.05315614491701126
14593.0,1986-07-08,34.25,-0.038596492260694504
14593.0,1986-07-09,34.625,0.010948904789984226
14593.0,1986-07-10,35.375,0.02166065014898777
14593.0,1986-07-11,37.125,0.0494699664413929
14593.0,1986-07-14,36.25,-0.023569023236632347
14593.0,1986-07-15,34.875,-0.037931036204099655
14593.0,1986-07-16,33.5,-0.0394265241920948
14593.0,1986-07-17,32.25,-0.03731343150138855
14593.0,1986-07-18,31.75,-0.01550387591123581
14593.0,1986-07-21,33.5,0.05511811003088951
14593.0,1986-07-22,34.625,0.033582091331481934
14593.0,1986-07-23,34.125,-0.014440433122217655
14593.0,1986-07-24,33.125,-0.029304029420018196
14593.0,1986-07-25,34.0,0.02641509473323822
14593.0,1986-07-28,32.375,-0.04779411852359772
14593.0,1986-07-29,31.25,-0.03474903479218483
14593.0,1986-07-30,30.5,-0.024000000208616257
14593.0,1986-07-31,31.25,0.02459016442298889
14593.0,1986-08-01,31.375,0.004000000189989805
14593.0,1986-08-04,31.5,0.0039840638637542725
14593.0,1986-08-05,32.125,0.01984127052128315
14593.0,1986-08-06,31.125,-0.031128404662013054
14593.0,1986-08-07,31.75,0.0200803205370903
14593.0,1986-08-08,31.625,-0.003937007859349251
14593.0,1986-08-11,33.5,0.05928853899240494
14593.0,1986-08-12,34.25,0.02238805964589119
14593.0,1986-08-13,36.0,0.051094889640808105
14593.0,1986-08-14,36.0,0.0
14593.0,1986-08-15,35.75,-0.0069444444961845875
14593.0,1986-08-18,35.375,-0.010489510372281075
14593.0,1986-08-19,35.375,0.0
14593.0,1986-08-20,36.25,0.02473498322069645
14593.0,1986-08-21,35.75,-0.013793103396892548
14593.0,1986-08-22,36.25,0.0139860138297081
14593.0,1986-08-25,36.375,0.003448275849223137
14593.0,1986-08-26,36.625,0.006872852332890034
14593.0,1986-08-27,37.0,0.010238908231258392
14593.0,1986-08-28,37.75,0.020270269364118576
14593.0,1986-08-29,37.0,-0.01986755058169365
14593.0,1986-09-02,34.75,-0.06081081181764603
14593.0,1986-09-03,34.75,0.0
14593.0,1986-09-04,35.5,0.02158273383975029
